Task,Model,Run Name,Patience,Sampler,Accuracy,Accuracy Lower Bound,Neg Log Error,Rounds,Prompt Word Count,Reasoning Word Count,Cumulative Reasoning Words,Herdan Coefficient,Herdan R-squared,Zipf Coefficient,Zipf R-squared,Model Size,Data Points,logistic regression,decision trees,dummy
southgermancredit,gemini-2.0-flash,gemini10.,3,10,0.34513274336283184,0.3155299232756723,0.16464553335550774,4,97,85,241,0.5520891242198926,0.974397523736928,1.0915120080167782,0.9541909039410583,40,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gpt-4o,openai10.,3,10,0.504424778761062,0.47253835633851193,0.27780911622329224,1,2,0,0,0.6044165935158716,0.9714680150686134,0.9174725962271648,0.9303942467994233,200,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gpt-4.5-preview,openai4510.,3,10,0.5132743362831859,0.48152125382642064,0.28526904179899226,1,2,0,0,0.43246229473727454,0.8938803947388074,0.851488022069731,0.8445995975475864,1800,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gpt-4o-mini,openailong.,100,10,0.5398230088495575,0.5085301843022126,0.30850314981238014,3,176,104,159,0.6030483517791808,0.9814366242289234,1.029116980534371,0.9314386654886825,100,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gemini-2.0-pro-exp,geminipro10.,3,10,0.4336283185840708,0.4030144929784725,0.2240362120816502,1,2,0,0,0.5629320307228898,0.9651689397509932,0.9715382844169296,0.9213237874213356,1500,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,claude-3-7-sonnet-20250219,anthropic37.,3,3,0.4424778761061947,0.41092906177701044,0.22983240262595214,7,985,170,1116,0.5843255128400449,0.979097082729707,1.0921438085113535,0.940683269266701,200,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,claude-3-7-sonnet-20250219,anthropic3710.,3,10,0.5575221238938053,0.5265866448912517,0.32475949467853854,3,504,162,324,0.5992947376087155,0.9789345185312698,1.037035206894262,0.9479543788531023,200,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gemini-2.0-flash,gemini.,3,3,0.5398230088495575,0.5085301843022126,0.30850314981238014,1,2,0,0,0.48909211976751177,0.9527404968279104,1.0895497338350661,0.9397483384853821,40,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gemma3:27b,gemma.,3,3,0.5398230088495575,0.5085301843022126,0.30850314981238014,1,2,0,0,0.5976586708380133,0.9661618686858621,0.8650848181879178,0.9093285610929499,,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gpt-4o,openai.,3,3,0.5132743362831859,0.48152125382642064,0.28526904179899226,1,2,0,0,0.5682537380001204,0.9642380730862289,0.9262792913616298,0.93293061123237,200,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gemini-2.0-pro-exp,geminipro.,3,3,0.5221238938053098,0.4905141770463025,0.29286789624762577,1,2,0,0,0.5042881626844682,0.9700577021263367,1.104974285687406,0.9378884133786091,1500,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,claude-3-5-haiku-20241022,anthropic.,3,3,0.5221238938053098,0.4905141770463025,0.29286789624762577,1,2,0,0,0.6094416529624123,0.9666014864859136,0.8571133778899546,0.9115196006765434,20,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,gpt-4.5-preview,openai45.,3,3,0.584070796460177,0.5527405274301045,0.34944045268061064,1,2,0,0,0.46639756497048024,0.9406904029276945,1.0297433295899352,0.8832908167454756,1800,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,o1,openai10o1.,3,10,0.4424778761061947,0.41092906177701044,0.22983240262595214,1,2,0,0,0.5568738695270488,0.9599314794125183,0.9844613493564038,0.9105010892457642,300,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
southgermancredit,claude-3-5-haiku-20241022,anthropic10.,3,10,0.45132743362831856,0.4198426065353635,0.23645416878161413,4,339,101,492,0.6464273594655897,0.9772091441522441,0.8488217342556819,0.9236189505092648,20,1000,0.6813208756338864,0.559609451034119,0.6909685280775577
