models,model_rounds,validation_accuracy,validation_lower_bound,validation_upper_bound,validation_total,validation_correct,test_accuracy,test_lower_bound,test_upper_bound,test_total,test_correct,validation_TP,test_TP,validation_FP,test_FP,validation_TN,test_TN,validation_FN,test_FN
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openai45,wisconsin_exoplanets-openailong","6,4,4",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8421052631578947,0.7213173699312707,0.9251688307994875,57,48,12,21,1,1,36,27,1,8
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openai10,wisconsin_exoplanets-openai45","6,5,4",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8421052631578947,0.7213173699312707,0.9251688307994875,57,48,12,21,1,1,36,27,1,8
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openai10,wisconsin_exoplanets-openailong","6,5,4",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8421052631578947,0.7213173699312707,0.9251688307994875,57,48,12,21,1,1,36,27,1,8
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openaio1,wisconsin_exoplanets-qwq","6,2,1",0.96,0.8628623743960326,0.9951185665738356,50,48,0.7894736842105263,0.6611299420734731,0.8862097756836405,57,45,12,19,1,2,36,26,1,10
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openaio1,wisconsin_exoplanets-phi","6,2,1",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8245614035087719,0.7009423405431865,0.9125267711897262,57,47,12,20,1,1,36,27,1,9
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openai4510,wisconsin_exoplanets-qwq","6,2,1",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8421052631578947,0.7213173699312707,0.9251688307994875,57,48,12,21,1,1,36,27,1,8
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openai10o1,wisconsin_exoplanets-openailong","6,5,4",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8421052631578947,0.7213173699312707,0.9251688307994875,57,48,12,21,1,1,36,27,1,8
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openai4510,wisconsin_exoplanets-openaio1","6,2,2",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8245614035087719,0.7009423405431865,0.9125267711897262,57,47,12,20,1,1,36,27,1,9
"wisconsin_exoplanets-openai,wisconsin_exoplanets-openai10o1,wisconsin_exoplanets-openai45","6,5,4",0.96,0.8628623743960326,0.9951185665738356,50,48,0.8245614035087719,0.7009423405431865,0.9125267711897262,57,47,12,21,1,2,36,26,1,8
"wisconsin_exoplanets-anthropic37,wisconsin_exoplanets-geminipro10,wisconsin_exoplanets-openaio1","2,3,2",0.9523809523809523,0.8670815992518494,0.9900700488492667,63,60,0.7121212121212122,0.5874932401392494,0.816959774581892,66,47,19,16,0,3,41,31,3,16
"wisconsin_exoplanets-anthropic37,wisconsin_exoplanets-openai4510,wisconsin_exoplanets-openaio1","2,2,2",0.9523809523809523,0.8670815992518494,0.9900700488492667,63,60,0.8484848484848485,0.7389589287110891,0.9248753700606944,66,56,20,26,1,4,40,30,2,6
