Task,Model,Run Name,Patience,Sampler,Accuracy,Accuracy Lower Bound,Neg Log Error,Rounds,Prompt Word Count,Reasoning Word Count,Cumulative Reasoning Words,Herdan Coefficient,Herdan R-squared,Zipf Coefficient,Zipf R-squared,Model Size,Data Points,logistic regression,decision trees,dummy
wisconsin,gemini-2.0-flash,gemini10.,3,10,0.6515151515151515,0.6112933699443637,0.4103780516712267,2,30,72,72,0.4796528781971484,0.9446794792930137,1.031799722329714,0.9462393506108888,40,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4o,openai10.,3,10,0.8714285714285714,0.8414081330842884,0.7997190884193965,5,123,141,437,0.6782781285533105,0.9836961874344816,0.8634285562630695,0.9476651060484326,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4.5-preview,openai4510.,3,10,0.6818181818181818,0.6418798805754101,0.4459712793521645,2,75,42,42,0.42398065497661835,0.8917335240366935,0.9303666360241142,0.8958425996740914,1800,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4o-mini,openailong.,100,10,0.9,0.8721613841909005,0.8933379403902566,4,118,69,179,0.6210834896529966,0.9855738470006882,1.0662409607012169,0.9471069477418312,100,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.0-pro-exp,geminipro10.,3,10,0.5909090909090909,0.5488430798990287,0.34567237678991114,3,35,52,147,0.514739079867374,0.9485463659069637,1.0231889760760509,0.9272540955184081,1500,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-7-sonnet-20250219,anthropic37.,3,3,0.7575757575757576,0.7200889511287676,0.5529799583787756,2,176,127,127,0.5635038230996783,0.9674236716374913,1.0183168411239971,0.9204280225568411,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-7-sonnet-20250219,anthropic3710.,3,10,0.8181818181818182,0.7848351598876017,0.6672286948676803,5,493,159,623,0.5748996997044444,0.9827894748655013,1.115213261249064,0.9674911893508342,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,deepseek-r1:70b,deepseek.,3,3,0.6212121212121212,0.5790914574202184,0.37581225990744954,1,2,0,0,-9.550732298357357e-17,-inf,0.05426195816185523,1.0,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,llama3.3:latest,llama.,3,3,0.5454545454545454,0.5028763240485917,0.303535552712552,2,51,87,87,0.5971580363276848,0.9644840306851197,0.8805611048587936,0.9107607136391687,70,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.0-flash,gemini.,3,3,0.6363636363636364,0.5951694703619115,0.3927267433189581,7,55,61,321,0.5597597078529726,0.9777315208549153,1.0765541231374978,0.9479231212963768,40,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemma-3-27b-it,gemma.,3,3,0.42424242424242425,0.382559926266861,0.2094051869103219,1,2,0,0,-9.550732298357357e-17,-inf,0.0669641236578873,1.0,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4o,openai.,3,3,0.8245614035087719,0.7904412307082949,0.6786941607651812,6,169,107,431,0.6793644256021554,0.9864735442255131,0.8412233569498374,0.9481980931619187,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,falcon3:10b,falcon10.,3,10,0.5757575757575758,0.5346619700439106,0.33223145310790736,1,2,0,0,0.40268558823478856,0.848117278478588,0.6622175306790306,0.8349767231319671,10,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.0-pro-exp,geminipro.,3,3,0.5454545454545454,0.5028763240485917,0.303535552712552,2,77,118,118,0.5606439054163019,0.9738971605462712,1.0310360236456988,0.9426772701756198,1500,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,qwq:32b,qwq.,3,3,0.4696969696969697,0.4276121834826765,0.2423096189297475,1,2,0,0,-9.550732298357357e-17,-inf,0.14345008664600484,1.0,32,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-5-haiku-20241022,anthropic.,3,3,0.8333333333333334,0.799807597665822,0.6985524088095194,2,119,138,138,0.6202587891187659,0.9699938308614977,0.8431917918766801,0.8976518937746016,20,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4.5-preview,openai45.,3,3,0.7,0.6599553809010257,0.46846409308397596,4,63,46,157,0.5659545986454512,0.9524281171743908,0.8765636796387486,0.8944027097815749,1800,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,llama3.3:latest,llamaphi.,3,3,0.40350877192982454,0.37467907361699876,0.20389703739866408,1,2,0,0,0.580553733848391,0.9516723246827322,0.7850897378933418,0.8841052419286827,70,1138,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,o1,openai10o1.,3,10,0.6909090909090909,0.6509096561207219,0.4570621639556429,5,121,46,176,0.5804604415626151,0.9693746729322477,0.9167440783465951,0.8906644570373766,300,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,o1,openaio1.,3,3,0.6666666666666666,0.6256653563824388,0.42673997829378624,2,54,20,20,0.5087530882283631,0.943031732146603,0.9711054729017473,0.9074984447473933,300,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,falcon3:10b,falcon.,3,3,0.48484848484848486,0.44328770284389024,0.2543691855045267,1,2,0,0,0.20003789593760346,0.6232385817273313,0.4762597169011489,0.9256031624395668,10,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-5-haiku-20241022,anthropic10.,3,10,0.4696969696969697,0.4276121834826765,0.2423096189297475,1,2,0,0,0.606657323590205,0.9628280399784168,0.8077910454523443,0.8778948094999105,20,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,phi4:latest,phi.,3,3,0.5151515151515151,0.4730088397769126,0.2781966696044032,1,2,0,0,-9.550732298357357e-17,-inf,0.041557071818051294,1.0,14,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
